k=7.500e+02, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=2.000
N=250, Lx=100.0000, Ly=100.0000

# initial positions: i, x, y, r
i,x,y,r
171,7.68657,40.57582,0.38568
172,3.55472,6.65842,1.02033
173,38.98912,17.12692,0.52544
174,9.49117,12.02768,0.83872
175,1.12373,15.49142,0.82951
176,1.32791,29.90861,1.27295
177,22.16501,22.79300,0.95253
178,21.87068,11.10142,1.97219
179,31.16853,0.57628,0.28878
180,20.03621,18.51541,1.70221
181,1.33810,32.75305,1.23406
182,34.58302,11.94225,1.05448
183,27.36860,14.00114,1.54477
184,4.78208,1.63310,1.63284
185,18.18967,7.91547,1.20981
186,33.82356,2.73036,1.00305
187,27.62177,28.49098,1.47112
188,0.57885,10.20761,0.34140
189,8.39037,4.26145,1.26356
190,24.16887,29.59623,1.80694
191,15.66064,2.68024,1.05747
192,16.95399,29.75940,1.68060
193,4.17465,8.18655,0.26681
194,10.08855,21.30476,1.98836
195,39.52438,6.05487,0.45036
196,31.62866,2.39333,1.07633
197,1.13345,24.53777,1.11631
198,0.79752,37.20682,0.68472
199,38.44484,37.31190,1.57482
200,7.95159,9.75232,1.74781
201,35.47156,21.14408,1.21806
202,23.31671,14.38855,1.25211
203,4.78115,23.37910,1.61135
204,1.05459,27.91129,0.51748
205,25.02959,12.69618,1.07588
206,13.93551,4.99648,1.80776
207,7.76997,23.19772,0.78533
208,32.96821,16.38641,1.54541
209,31.52406,5.51333,1.96573
210,3.41202,25.51991,0.79317
211,36.32964,38.18034,0.49284
212,0.75521,8.42328,0.75521
213,35.49842,3.00089,0.64882
214,6.68990,21.06268,1.31982
215,29.89367,35.23809,1.46356
216,16.82920,41.02922,0.40221
217,27.99120,7.73017,1.97697
218,15.24099,41.75700,0.36325
219,4.74667,38.19837,0.71437
